,P_value,job1_time,job2 kind,job2_time,job3_time,multipositive_counter,multipositive_rate,num_cores_per_executor,num_executors,RDD_partitions
59,1e-07,6.0120000000000005,aggregate_by_key,7.619,10.494000000000002,1.0,7.956671151576972e-07,4.0,4.0,16.0
60,1e-07,8.136000000000001,aggregate_by_key,16.512999999999998,34.72,1.0,7.956671151576972e-07,1.0,1.0,1.0
61,1e-07,7.401,aggregate_by_key,9.558,21.272,1.0,7.956671151576972e-07,2.0,1.0,2.0
62,1e-07,5.892,aggregate_by_key,8.812999999999997,19.067,1.0,7.956671151576972e-07,3.0,1.0,3.0
63,1e-07,6.1720000000000015,aggregate_by_key,9.691,19.629,1.0,7.956671151576972e-07,4.0,1.0,4.0
64,1e-07,8.368,aggregate_by_key,9.077,20.706999999999997,1.0,7.956671151576972e-07,1.0,2.0,2.0
65,1e-07,8.652000000000001,aggregate_by_key,8.451,18.896,1.0,7.956671151576972e-07,1.0,2.0,2.0
66,1e-07,6.189,aggregate_by_key,9.833,13.300999999999998,1.0,7.956671151576972e-07,2.0,2.0,4.0
67,1e-07,8.102,aggregate_by_key,5.311,10.89,1.0,7.956671151576972e-07,3.0,2.0,6.0
68,1e-07,5.82,aggregate_by_key,10.512,13.095999999999998,1.0,7.956671151576972e-07,4.0,2.0,8.0
69,1e-07,5.3039999999999985,aggregate_by_key,8.59,18.546,1.0,7.956671151576972e-07,1.0,4.0,4.0
70,1e-07,6.024,aggregate_by_key,9.98,18.699,1.0,7.956671151576972e-07,1.0,4.0,4.0
71,1e-07,5.8279999999999985,aggregate_by_key,5.69,10.307,1.0,7.956671151576972e-07,2.0,4.0,8.0
72,1e-07,5.162999999999999,aggregate_by_key,6.612,9.918,1.0,7.956671151576972e-07,3.0,4.0,12.0
73,1e-07,5.438,aggregate_by_key,6.769,9.428,1.0,7.956671151576972e-07,4.0,4.0,16.0
74,1e-07,5.257999999999999,aggregate_by_key,9.291,14.822000000000001,1.0,7.956671151576972e-07,1.0,8.0,8.0
75,1e-07,5.369,aggregate_by_key,6.757999999999999,10.906,1.0,7.956671151576972e-07,2.0,8.0,16.0
76,1e-07,5.8629999999999995,aggregate_by_key,9.142000000000001,18.680999999999997,1.0,7.956671151576972e-07,1.0,8.0,8.0
77,1e-07,5.642,aggregate_by_key,7.9,10.749,1.0,7.956671151576972e-07,2.0,8.0,16.0
78,1e-07,5.317,aggregate_by_key,6.806,11.341,1.0,7.956671151576972e-07,3.0,8.0,24.0
79,1e-07,5.488,aggregate_by_key,7.68,12.154000000000002,1.0,7.956671151576972e-07,4.0,8.0,32.0
80,1e-07,6.473,aggregate_by_key,10.805,19.66,1.0,7.956671151576972e-07,1.0,12.0,12.0
81,1e-07,5.5139999999999985,aggregate_by_key,7.435,10.575,1.0,7.956671151576972e-07,2.0,12.0,24.0
82,1e-07,5.912000000000001,aggregate_by_key,7.893,11.501,1.0,7.956671151576972e-07,3.0,12.0,36.0
83,1e-07,5.733,aggregate_by_key,8.152999999999999,11.634,1.0,7.956671151576972e-07,4.0,12.0,48.0
84,1e-07,5.5920000000000005,aggregate_by_key,10.402999999999999,19.575,1.0,7.956671151576972e-07,1.0,16.0,16.0
85,1e-07,6.204,aggregate_by_key,10.639,20.493,1.0,7.956671151576972e-07,1.0,16.0,16.0
86,1e-07,5.8210000000000015,aggregate_by_key,7.104,11.327,1.0,7.956671151576972e-07,2.0,16.0,32.0
87,1e-07,6.065,aggregate_by_key,8.202,12.383,1.0,7.956671151576972e-07,3.0,16.0,48.0
88,1e-07,5.794,aggregate_by_key,8.193999999999999,11.422,1.0,7.956671151576972e-07,4.0,16.0,64.0
89,1e-07,8.267999999999999,aggregate_by_key,17.695999999999994,36.217,1.0,7.956671151576972e-07,1.0,1.0,1.0
90,1e-07,7.037000000000001,aggregate_by_key,16.768,35.254,1.0,7.956671151576972e-07,2.0,1.0,1.0
91,1e-07,6.09,aggregate_by_key,16.135,35.585,1.0,7.956671151576972e-07,3.0,1.0,1.0
92,1e-07,6.426,aggregate_by_key,16.38,34.998000000000005,1.0,7.956671151576972e-07,4.0,1.0,1.0
93,1e-07,5.277,aggregate_by_key,16.307000000000002,36.315,1.0,7.956671151576972e-07,1.0,2.0,1.0
94,1e-07,6.712999999999999,aggregate_by_key,17.195999999999998,36.691,1.0,7.956671151576972e-07,2.0,2.0,1.0
95,1e-07,6.672999999999999,aggregate_by_key,17.557000000000002,36.694,1.0,7.956671151576972e-07,1.0,2.0,1.0
96,1e-07,5.605,aggregate_by_key,16.76,36.378,1.0,7.956671151576972e-07,2.0,2.0,1.0
97,1e-07,5.9110000000000005,aggregate_by_key,16.995,35.181999999999995,1.0,7.956671151576972e-07,3.0,2.0,1.0
98,1e-07,6.797999999999999,aggregate_by_key,16.791,36.115,1.0,7.956671151576972e-07,4.0,2.0,1.0
99,1e-07,6.064,aggregate_by_key,16.745,35.9,1.0,7.956671151576972e-07,1.0,4.0,1.0
